    | Name                          | Type                     | Params | Mode 
112 | encoder.layer3.2.act2         | ReLU                     | 0      | train
113 | encoder.layer3.3              | BasicBlock               | 1.2 M  | train
114 | encoder.layer3.3.conv1        | Conv2d                   | 589 K  | train
115 | encoder.layer3.3.bn1          | BatchNorm2d              | 512    | train
116 | encoder.layer3.3.drop_block   | Identity                 | 0      | train
117 | encoder.layer3.3.act1         | ReLU                     | 0      | train
118 | encoder.layer3.3.aa           | Identity                 | 0      | train
119 | encoder.layer3.3.conv2        | Conv2d                   | 589 K  | train
120 | encoder.layer3.3.bn2          | BatchNorm2d              | 512    | train
121 | encoder.layer3.3.act2         | ReLU                     | 0      | train
122 | encoder.layer3.4              | BasicBlock               | 1.2 M  | train
123 | encoder.layer3.4.conv1        | Conv2d                   | 589 K  | train
124 | encoder.layer3.4.bn1          | BatchNorm2d              | 512    | train
125 | encoder.layer3.4.drop_block   | Identity                 | 0      | train
126 | encoder.layer3.4.act1         | ReLU                     | 0      | train
127 | encoder.layer3.4.aa           | Identity                 | 0      | train
128 | encoder.layer3.4.conv2        | Conv2d                   | 589 K  | train
129 | encoder.layer3.4.bn2          | BatchNorm2d              | 512    | train
130 | encoder.layer3.4.act2         | ReLU                     | 0      | train
131 | encoder.layer3.5              | BasicBlock               | 1.2 M  | train
132 | encoder.layer3.5.conv1        | Conv2d                   | 589 K  | train
133 | encoder.layer3.5.bn1          | BatchNorm2d              | 512    | train
134 | encoder.layer3.5.drop_block   | Identity                 | 0      | train
135 | encoder.layer3.5.act1         | ReLU                     | 0      | train
136 | encoder.layer3.5.aa           | Identity                 | 0      | train
137 | encoder.layer3.5.conv2        | Conv2d                   | 589 K  | train
138 | encoder.layer3.5.bn2          | BatchNorm2d              | 512    | train
139 | encoder.layer3.5.act2         | ReLU                     | 0      | train
140 | encoder.layer4                | Sequential               | 13.1 M | train
141 | encoder.layer4.0              | BasicBlock               | 3.7 M  | train
142 | encoder.layer4.0.conv1        | Conv2d                   | 1.2 M  | train
143 | encoder.layer4.0.bn1          | BatchNorm2d              | 1.0 K  | train
144 | encoder.layer4.0.drop_block   | Identity                 | 0      | train
145 | encoder.layer4.0.act1         | ReLU                     | 0      | train
146 | encoder.layer4.0.aa           | Identity                 | 0      | train
147 | encoder.layer4.0.conv2        | Conv2d                   | 2.4 M  | train
148 | encoder.layer4.0.bn2          | BatchNorm2d              | 1.0 K  | train
149 | encoder.layer4.0.act2         | ReLU                     | 0      | train
150 | encoder.layer4.0.downsample   | Sequential               | 132 K  | train
151 | encoder.layer4.0.downsample.0 | AvgPool2d                | 0      | train
152 | encoder.layer4.0.downsample.1 | Conv2d                   | 131 K  | train
153 | encoder.layer4.0.downsample.2 | BatchNorm2d              | 1.0 K  | train
154 | encoder.layer4.1              | BasicBlock               | 4.7 M  | train
155 | encoder.layer4.1.conv1        | Conv2d                   | 2.4 M  | train
156 | encoder.layer4.1.bn1          | BatchNorm2d              | 1.0 K  | train
157 | encoder.layer4.1.drop_block   | Identity                 | 0      | train
158 | encoder.layer4.1.act1         | ReLU                     | 0      | train
159 | encoder.layer4.1.aa           | Identity                 | 0      | train
160 | encoder.layer4.1.conv2        | Conv2d                   | 2.4 M  | train
161 | encoder.layer4.1.bn2          | BatchNorm2d              | 1.0 K  | train
162 | encoder.layer4.1.act2         | ReLU                     | 0      | train
163 | encoder.layer4.2              | BasicBlock               | 4.7 M  | train
164 | encoder.layer4.2.conv1        | Conv2d                   | 2.4 M  | train
165 | encoder.layer4.2.bn1          | BatchNorm2d              | 1.0 K  | train
166 | encoder.layer4.2.drop_block   | Identity                 | 0      | train
167 | encoder.layer4.2.act1         | ReLU                     | 0      | train
168 | encoder.layer4.2.aa           | Identity                 | 0      | train
169 | encoder.layer4.2.conv2        | Conv2d                   | 2.4 M  | train
170 | encoder.layer4.2.bn2          | BatchNorm2d              | 1.0 K  | train
171 | encoder.layer4.2.act2         | ReLU                     | 0      | train
172 | decoder                       | MyUnetDecoder3d          | 9.5 M  | train
173 | decoder.center                | Identity                 | 0      | train
174 | decoder.block                 | ModuleList               | 9.5 M  | train
175 | decoder.block.0               | MyDecoderBlock3d         | 7.1 M  | train
